"Department","Province","District","Month","Year","IncidenceCount","X._Pop_1_NBI","X._Inadq_Housing","X._Overcrowding","X._Pop_No_Hygeine","X._High_Econ_Depend","X._Pop_No_pubwater","X._No_Light","X._Homes_Dirt_Floor","X._Homes_Firewood","X._no_computer","X._no_cellphone","X._no_internet","X._Homes_1_room","X._Difficulty_Moving","X._limited_interact_wothes","Illiteracy_Rate","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity"
"LIMA","LIMA","ATE","November",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,19.2357938718663,1.84846796657382,167.995821727019,78.2674094707521
"LIMA","LIMA","ATE","December",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,20.8013440860215,1.73293010752688,173.768817204301,78.1397849462366
"LIMA","LIMA","ATE","January",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,1.2,22.5420698924731,1.64422043010753,187.137096774194,77.5255376344086
"LIMA","LIMA","ATE","February",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.1,23.6918103448276,1.51968390804598,174.300287356322,74.1968390804598
"LIMA","LIMA","ATE","March",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,24.2990049751244,1.46268656716418,177.517412935323,67.8723051409619
"LIMA","LIMA","ATE","April",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,25.0690909090909,2.92372881355932,197.403409090909,62.8977272727273
"LIMA","LIMA","ATE","May",2020,4,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,24.4944444444444,3.17857142857143,203.333333333333,60.4418604651163
"LIMA","LIMA","ATE","June",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,20.9660377358491,3.378125,205.1875,64.4615384615385
"LIMA","LIMA","ATE","July",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,20.5666666666667,3.09673913043478,202.282608695652,62.3695652173913
"LIMA","LIMA","ATE","August",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,21.69,3.47906976744186,212.441860465116,55.4186046511628
"LIMA","LIMA","ATE","September",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.8,17.5037878787879,1.66541353383459,148.03007518797,76.0601503759399
"LIMA","LIMA","ATE","October",2020,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.1,18.5115746971736,1.59205921938089,160.893674293405,75.4939434724092
